Model,Accuracy without Normalization,Accuracy z-score,Accuracy minmax,Accuracy Maxabs,Accuracy Robust
Extra Trees Classifier,0.7382,0.7299,0.7283,0.7537,0.7342
Random Forest Classifier,0.7342,0.7359,0.7283,0.7434,0.7311
Gradient Boosting Classifier,0.733,0.7216,0.7319,0.7434,0.7374
Light Gradient Boosting Machine,0.7295,0.7208,0.7141,0.7362,0.7184
Ada Boost Classifier,0.7247,0.7263,0.7232,0.7299,0.7259
Naive Bayes,0.7101,0.5976,0.6115,0.7002,0.5168
Decision Tree Classifier,0.653,0.6364,0.6432,0.6594,0.644
Quadratic Discriminant Analysis,0.6487,0.5841,0.5968,0.7014,0.6202
K Neighbors Classifier,0.6368,0.6741,0.6733,0.6733,0.6954
Linear Discriminant Analysis,0.5833,0.5671,0.5628,0.6044,0.5735
Ridge Classifier,0.5766,0.5683,0.5604,0.5984,0.5735
Logistic Regression,0.5675,0.5833,0.5565,0.5933,0.4138
Dummy Classifier,0.5046,0.5018,0.5061,0.5049,0.5014
SVM - Linear Kernel,0.4986,0.5889,0.541,0.5901,0.4305
